month,yield,yield_source,proxy_assumption_flag,gross_margin_gaap_pct,revenue_bil_usd,milestone_stage,milestone_stage_norm,effective_die_area_mm2_proxy,area_factor
2024-01,30.996262460269136,proxy_model,1,41.0,12.7,1,0.125,219.43,1.2190555555555556
2024-02,31.642262460269137,proxy_model,1,41.0,12.7,1,0.125,218.71,1.2150555555555556
2024-03,32.28826246026914,proxy_model,1,41.0,12.7,1,0.125,217.99,1.2110555555555556
2024-04,30.20566577995441,proxy_model,1,35.4,12.8,1,0.125,217.27,1.2070555555555555
2024-05,33.12041577995441,proxy_model,1,35.4,12.8,2,0.25,214.3,1.1905555555555556
2024-06,33.766415779954414,proxy_model,1,35.4,12.8,2,0.25,213.58,1.1865555555555556
2024-07,24.83198092180728,proxy_model,1,15.0,13.3,2,0.25,212.86,1.1825555555555556
2024-08,27.746730921807284,proxy_model,1,15.0,13.3,3,0.375,209.89,1.1660555555555554
2024-09,28.392730921807285,proxy_model,1,15.0,13.3,3,0.375,209.17,1.1620555555555554
2024-10,44.62334216902924,proxy_model,1,39.2,14.3,3,0.375,208.45,1.1580555555555554
2024-11,45.26934216902925,proxy_model,1,39.2,14.3,3,0.375,207.73,1.1540555555555554
2024-12,45.915342169029245,proxy_model,1,39.2,14.3,3,0.375,207.01,1.1500555555555556
2025-01,41.094124430262724,proxy_model,1,36.9,12.7,3,0.375,206.29,1.1460555555555556
2025-02,44.00887443026273,proxy_model,1,36.9,12.7,4,0.5,203.32,1.1295555555555554
2025-03,44.65487443026272,proxy_model,1,36.9,12.7,4,0.5,202.6,1.1255555555555554
2025-04,43.07461361939218,proxy_model,1,27.5,12.9,5,0.625,199.63,1.1090555555555555
2025-05,45.989363619392186,proxy_model,1,27.5,12.9,6,0.75,196.66,1.0925555555555555
2025-06,46.63536361939219,proxy_model,1,27.5,12.9,6,0.75,195.94,1.0885555555555555
2025-07,55.11988546110743,proxy_model,1,38.2,13.7,6,0.75,195.22,1.0845555555555555
2025-08,55.76588546110744,proxy_model,1,38.2,13.7,6,0.75,194.5,1.0805555555555555
2025-09,56.41188546110744,proxy_model,1,38.2,13.7,6,0.75,193.78,1.0765555555555555
2025-10,57.52450000000001,proxy_model,1,36.1,14.3,6,0.75,193.06,1.0725555555555555
2025-11,60.43925,proxy_model,1,36.1,14.3,7,0.875,190.09,1.0560555555555555
2025-12,61.08525,proxy_model,1,36.1,14.3,7,0.875,189.37,1.0520555555555555
2026-01,64.0,observed_anchor,0,36.1,14.3,8,1.0,186.4,1.0355555555555556
2026-02,68.5,observed_anchor,0,36.1,14.3,8,1.0,185.68,1.0315555555555556
