dataset,dataset_type,scenario,model,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
sample_observations,observed,prior_10_12_with_killer,llambo_style,1,1,0.3017,0.3017,0.5533,1.0000,9.0160,0.2778,0
sample_observations,observed,prior_3_5_with_killer,llambo_style,1,1,0.3017,0.3017,0.8422,1.0000,13.9552,0.2778,0
sample_observations,observed,prior_7_8_no_killer,llambo_style,1,1,0.9068,0.9068,0.7958,1.0000,11.4856,0.3000,0
sample_observations,observed,prior_7_8_with_killer,gp_surrogate,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,linear_trend,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,llambo_style,1,1,0.3017,0.3017,0.6971,1.0000,11.4856,0.2778,0
sample_observations,observed,prior_7_8_with_killer,logistic_scurve,1,0,,,,,,,1
sample_observations,observed,prior_7_8_with_killer,persistence,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,1,24,1.5260,2.3312,1.3103,0.8750,10.2508,0.1389,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,2,23,2.5921,3.9727,2.1609,0.8261,10.4532,0.1522,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,3,22,3.3084,5.0057,2.7562,0.7727,9.8887,0.1768,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,4,21,3.6667,5.5345,3.1057,0.6667,9.4178,0.1772,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,5,20,3.6946,5.6848,3.2216,0.6500,8.7549,0.1667,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,6,19,3.7517,5.6339,3.2230,0.6316,8.0611,0.1901,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,1,24,1.5733,2.3402,1.3620,1.0000,13.9552,0.1620,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,2,23,2.7189,3.9983,2.1223,0.8696,14.3421,0.1860,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,3,22,3.5048,5.0504,2.6823,0.8636,13.9489,0.2222,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,4,21,3.9558,5.6036,3.0259,0.8095,13.4606,0.2354,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,5,20,4.1321,5.7870,3.1790,0.8000,12.9602,0.2500,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,6,19,4.0966,5.7317,3.1850,0.7895,12.4583,0.2602,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,1,24,1.9034,2.8036,1.5211,0.9167,11.4856,0.1944,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,2,23,3.2921,4.7854,2.5837,0.8261,11.7258,0.2536,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,3,22,4.2156,6.0468,3.3608,0.7727,11.3153,0.2879,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,4,21,4.7569,6.7167,3.8374,0.6667,10.8249,0.2989,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,5,20,4.9746,6.9490,4.0584,0.6500,10.3243,0.3056,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,6,19,4.9594,6.9016,4.0911,0.6316,9.8224,0.3246,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,1,24,2.0412,2.1167,1.3262,0.8750,8.5467,0.3565,0
