dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,1,2.8072,2.5243,-0.2829,4.4072,4.3911,-0.0161,2.2513,2.0499,-0.2014,0.8472,0.9028,+0.0556,10.2508,13.4170,+3.1662,0.0972,0.0710,-0.0262
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,2,3.2281,2.6429,-0.5852,4.9329,4.4414,-0.4915,2.6632,2.1265,-0.5367,0.7391,0.8986,+0.1595,10.3158,13.8489,+3.5331,0.1425,0.0717,-0.0708
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,3,3.8104,3.0676,-0.7428,5.6522,4.6805,-0.9717,3.1469,2.3353,-0.8116,0.7121,0.8636,+0.1515,9.8655,13.3514,+3.4859,0.1582,0.0529,-0.1053
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,4,4.2325,3.3183,-0.9142,6.2061,5.2408,-0.9653,3.5786,2.5137,-1.0649,0.6508,0.8889,+0.2381,9.4158,12.5926,+3.1768,0.1684,0.0686,-0.0998
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,5,4.2105,3.5111,-0.6994,6.7688,5.2415,-1.5273,3.6797,2.6282,-1.0515,0.6500,0.8667,+0.2167,8.9017,11.9652,+3.0635,0.1796,0.1056,-0.0740
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,6,4.1232,3.4357,-0.6875,5.7877,4.5934,-1.1943,3.4901,2.4747,-1.0154,0.6316,0.8246,+0.1930,8.2982,11.4418,+3.1436,0.1784,0.1312,-0.0472
__ALL_SYNTHETIC__,synthetic,prior_10_12_with_killer,llambo_style,all,3.6968,3.0546,-0.6422,5.6310,4.7622,-0.8688,3.0975,2.3400,-0.7575,0.7106,0.8760,+0.1654,9.5640,12.8326,+3.2686,0.1520,0.0612,-0.0908
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,1,2.8122,2.3744,-0.4378,4.3836,4.0326,-0.3510,2.2096,1.9860,-0.2236,0.8889,0.9306,+0.0417,13.9552,16.2398,+2.2846,0.1080,0.0988,-0.0092
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,2,3.2550,2.3512,-0.9038,4.8986,3.7542,-1.1444,2.5487,1.9415,-0.6072,0.8696,0.9565,+0.0869,14.3421,16.8458,+2.5037,0.1715,0.0945,-0.0770
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,3,3.8816,2.5854,-1.2962,5.6045,3.7516,-1.8529,2.9802,1.9864,-0.9938,0.8333,0.9697,+0.1364,13.9489,16.4477,+2.4988,0.1886,0.0687,-0.1199
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,4,4.2441,2.6759,-1.5682,6.1644,3.9140,-2.2504,3.3372,2.0477,-1.2895,0.7302,0.9365,+0.2063,13.4606,15.8806,+2.4200,0.2178,0.0591,-0.1587
__ALL_SYNTHETIC__,synthetic,prior_3_5_with_killer,llambo_style,5,4.3724,2.7661,-1.6063,6.7236,4.2071,-2.5165,3.5149,2.0852,-1.4297,0.7833,0.9500,+0.1667,12.9602,15.2927,+2.3325,0.2444,0.0519,-0.1925
