dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,1,20,6.4139,7.4560,5.2262,0.3000,9.1774,0.3778,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,2,19,9.4845,11.1847,8.3029,0.2632,9.2837,0.4181,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,3,18,12.5751,14.4374,11.3059,0.0556,8.8604,0.5000,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,4,17,15.0859,16.1741,13.8811,0.0000,8.3713,0.5000,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,5,16,18.0323,19.0314,16.8991,0.0000,7.8737,0.5000,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,baseline,6,15,20.4372,21.4226,19.3757,0.0000,7.3750,0.5000,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,1,20,3.8138,5.4207,2.9254,0.8000,13.3999,0.1444,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,2,19,5.5511,6.6852,4.1349,0.6842,14.2195,0.1877,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,3,18,6.5986,7.9689,5.1644,0.5556,13.8147,0.1568,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,4,17,5.1802,7.0753,4.1210,0.7059,13.1355,0.1732,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,5,16,5.6002,7.8073,4.5296,0.6875,12.3855,0.2639,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened,6,15,6.2182,8.6393,5.1352,0.7333,11.6141,0.3889,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,1,20,4.0871,5.5804,3.0721,0.8000,12.9393,0.1889,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,2,19,5.9192,7.0506,4.4295,0.6842,13.7014,0.1994,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,3,18,6.8103,8.5176,5.4253,0.6111,13.3112,0.1679,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,4,17,5.8016,7.9678,4.7131,0.6471,12.6679,0.2647,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,5,16,6.8788,9.1975,5.7234,0.5625,11.9611,0.3750,0
enriched_monthly_panel,observed,prior_10_12_with_killer,llambo_style,hardened_no_area,6,15,8.3982,10.4890,6.9957,0.3333,11.2366,0.4481,0
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,baseline,1,20,6.4139,7.4560,4.7676,0.7500,14.1166,0.3556,0
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,baseline,2,19,9.4845,11.1847,7.7833,0.4211,14.5162,0.4006,0
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,baseline,3,18,12.5751,14.4374,10.6164,0.2778,14.1275,0.4938,0
enriched_monthly_panel,observed,prior_3_5_with_killer,llambo_style,baseline,4,17,15.0859,16.1741,13.1260,0.0000,13.6425,0.5000,0
